z	log 1	log 2	log 3	log 4	log 5	log 6	log 7	log 8	log 9	log 10	log 11	log 12	log 13	
~A
1398	0.0583285689354	0.119142867625	-999.25	0.131814286113	0.181214302778	0.0933714285493	-999.25	0.222742840648	0.109042860568	0.11400000006	0.203857153654	0.365714281797	0.110371418297	
1399	0.0468571446836	0.137199983001	-999.25	0.108071431518	0.151799991727	0.0917857140303	-999.25	0.192599996924	0.0985285714269	0.116000004113	0.164285734296	0.23171427846	0.0985285714269	
1400	0.0589833371341	0.13275000453	-999.25	0.1114166677	0.116800002754	0.0888000056148	-999.25	0.195816650987	0.0993833318353	0.130666673183	0.143999993801	0.280666679144	0.102166675031	
1401	0.10728571564	0.152414292097	-999.25	0.15485714376	0.166885718703	0.122342862189	-999.25	0.175671428442	0.131071433425	0.142285719514	0.170857146382	0.35428571701	0.131885707378	
1402	0.143250003457	0.152066662908	-999.25	0.0976833328605	0.187383338809	0.105566672981	-999.25	0.205716684461	0.129316657782	0.147833332419	0.190166652203	0.359166651964	0.134533330798	
1403	0.192471414804	0.164228573442	-999.25	0.132500007749	0.145057156682	0.0931571498513	-999.25	0.220485702157	0.110442861915	0.125714287162	0.211999997497	0.384428560734	0.104428566992	
1404	0.197499990463	0.15393333137	-999.25	0.184700012207	0.185650005937	0.157766669989	-999.25	0.234966650605	0.186433330178	0.243833318353	0.147166669369	0.383000016212	0.199516654015	
1405	0.165728569031	0.153614297509	-999.25	0.11439999193	0.201499983668	0.11378570646	-999.25	0.208385720849	0.231085702777	0.258285731077	0.180000022054	0.383285701275	0.232671409845	
1406	0.109071426094	0.154771432281	-999.25	0.203971430659	0.159871429205	0.145985707641	-999.25	0.21855711937	0.252771437168	0.269142836332	0.145428568125	0.379714280367	0.252957135439	
1407	0.0859666541219	0.125550016761	-999.25	0.206533327699	0.197850003839	0.186249986291	-999.25	0.192149996758	0.158216670156	0.168833330274	0.145333334804	0.32416665554	0.154516667128	
1408	0.155428573489	0.122757144272	-999.25	0.214742869139	0.213728561997	0.189242854714	-999.25	0.169871419668	0.112971425056	0.135571435094	0.142571434379	0.333571434021	0.111000008881	
1409	0.152500003576	0.135016664863	-999.25	0.24128331244	0.181150004268	0.198149994016	-999.25	0.177766680717	0.0737999975681	0.145166665316	0.130833342671	0.379999995232	0.0746666714549	
1410	0.126428574324	0.113271430135	-999.25	0.214814290404	0.260128557682	0.20627142489	-999.25	0.171271428466	0.11969999969	0.099571429193	0.13599999249	0.301714271307	0.118557147682	
1411	0.112283326685	0.133633330464	-999.25	0.152366653085	0.260883331299	0.170783340931	-999.25	0.174233332276	0.221183344722	0.150333330035	0.165000006557	0.292499989271	0.216683328152	
1412	0.138000011444	0.123228572309	-999.25	0.188685700297	0.262157142162	0.157071441412	-999.25	0.194600000978	0.130885705352	0.217142850161	0.152571439743	0.298142880201	0.131442859769	
1413	0.17053334415	0.119216658175	-999.25	0.157366648316	0.292866647243	0.175300002098	-999.25	0.201433345675	0.0960666760802	0.118166662753	0.147333323956	0.276833325624	0.0961666628718	
1414	0.178142860532	0.120285712183	-999.25	0.188242867589	0.261314302683	0.150314286351	-999.25	0.208428576589	0.0756285712123	0.101000003517	0.193571433425	0.297428578138	0.076071433723	
1415	0.140157148242	0.121128574014	-999.25	0.212714284658	0.206671431661	0.149585708976	-999.25	0.192328572273	0.0708142891526	0.0851428583264	0.284000009298	0.270857155323	0.0706571415067	
1416	0.164116665721	0.136483326554	-999.25	0.244283333421	0.253116667271	0.174133315682	-999.25	0.266133338213	0.135466679931	0.0888333320618	0.262833327055	0.295666664839	0.139299988747	
1417	0.12588571012	0.166614294052	-999.25	0.148771420121	0.225828558207	0.20627142489	-999.25	0.270742863417	0.11444286257	0.177285701036	0.218428581953	0.330285727978	0.108171418309	
1418	0.11439999938	0.222283318639	-999.25	0.102966666222	0.238550007343	0.103450000286	-999.25	0.279716640711	0.0840333327651	0.109499998391	0.168166682124	0.272833317518	0.0860333368182	
