z	log 1	log 2	log 3	log 4	log 5	log 6	log 7	log 8	log 9	log 10	log 11	log 12	log 13	
~A
146	-999.25	-999.25	2.48484277725	-999.25	-999.25	2.30239987373	2.42024278641	-999.25	2.63405990601	-999.25	-999.25	-999.25	2.59371423721	
147	-999.25	-999.25	2.44018340111	-999.25	-999.25	2.35503363609	2.44260001183	-999.25	2.47391653061	-999.25	-999.25	-999.25	2.4712164402	
148	-999.25	-999.25	2.49268555641	-999.25	-999.25	2.4557287693	2.42905688286	-999.25	2.48469996452	-999.25	-999.25	2.16980004311	2.4852142334	
149	-999.25	-999.25	2.50589990616	-999.25	-999.25	2.5150001049	2.42956662178	-999.25	2.46258330345	-999.25	-999.25	2.30133318901	2.46228337288	
150	-999.25	-999.25	2.50045728683	-999.25	-999.25	2.52732849121	2.43817138672	-999.25	2.49595713615	-999.25	-999.25	2.46571397781	2.50397157669	
151	-999.25	-999.25	2.49799990654	-999.25	-999.25	2.51379990578	2.4453856945	-999.25	2.51149988174	2.24900007248	-999.25	2.25785708427	2.51198577881	
152	-999.25	-999.25	2.51428341866	-999.25	-999.25	2.48258328438	2.41781663895	-999.25	2.47865009308	2.27100014687	-999.25	2.4131667614	2.47181677818	
153	-999.25	-999.25	2.50591444969	-999.25	-999.25	2.44529986382	2.4501285553	-999.25	2.44994306564	2.38599991798	-999.25	2.47185730934	2.46185708046	
154	-999.25	-999.25	2.49615001678	-999.25	-999.25	2.29764986038	2.47839999199	-999.25	2.47835016251	2.41833329201	-999.25	2.42966675758	2.47836661339	
155	-999.25	-999.25	2.48535704613	-999.25	-999.25	2.49290013313	2.48767137527	-999.25	2.47737145424	2.27599978447	-999.25	2.44457125664	2.48000001907	
156	-999.25	-999.25	2.5053164959	-999.25	-999.25	2.51095032692	2.5054666996	-999.25	2.47164988518	2.09666657448	-999.25	2.44099998474	2.46910023689	
157	-999.25	-999.25	2.50919985771	-999.25	-999.25	2.46554327011	2.47869992256	-999.25	2.48124265671	2.18971419334	-999.25	2.44414281845	2.48038554192	
158	-999.25	-999.25	2.51115727425	-999.25	-999.25	2.43580007553	2.42862868309	-999.25	2.50345730782	2.36942863464	-999.25	2.38442826271	2.51512885094	
159	-999.25	-999.25	2.52844977379	-999.25	-999.25	2.47796678543	2.45313358307	-999.25	2.48551678658	2.56133341789	-999.25	2.46866679192	2.47908329964	
160	-999.25	-999.25	2.50667142868	-999.25	-999.25	2.43367147446	2.45375704765	-999.25	2.47174286842	2.51485705376	-999.25	2.45314264297	2.47171425819	
161	-999.25	-999.25	2.51683330536	-999.25	-999.25	2.47741675377	2.44263339043	-999.25	2.47795009613	2.51600003242	-999.25	2.45016670227	2.48125004768	
162	-999.25	-999.25	2.5057284832	-999.25	-999.25	2.49718594551	2.43142867088	-999.25	2.47287154198	2.52928566933	-999.25	2.46585702896	2.47284293175	
163	-999.25	-999.25	2.52803325653	-999.25	-999.25	2.49468326569	2.43281674385	-999.25	2.46341657639	2.52216649055	-999.25	2.48416686058	2.46409988403	
164	-999.25	-999.25	2.5086286068	-999.25	-999.25	2.50615715981	2.45409989357	-999.25	2.48220014572	2.50785708427	-999.25	2.48028564453	2.48627138138	
165	-999.25	-999.25	2.56096673012	-999.25	-999.25	2.51723361015	2.46021676064	-999.25	2.47434997559	2.51250004768	-999.25	2.4608335495	2.4740831852	
166	-999.25	-999.25	2.53184294701	-999.25	-999.25	2.52607154846	2.45581436157	-999.25	2.49194288254	2.51414275169	-999.25	2.48157143593	2.50075697899	
167	-999.25	-999.25	2.52144289017	-999.25	-999.25	2.51180005074	2.4425714016	-999.25	2.49930024147	2.50257134438	-999.25	2.48371434212	2.5003285408	
168	-999.25	-999.25	2.52959990501	-999.25	-999.25	2.49825000763	2.46523356438	-999.25	2.4770834446	2.50116658211	-999.25	2.46083331108	2.46838331223	
169	-999.25	-999.25	2.5076713562	-999.25	-999.25	2.51541447639	2.45062875748	-999.25	2.48149991035	2.52942872047	-999.25	2.46614289284	2.48482871056	
170	-999.25	-999.25	2.50935006142	-999.25	-999.25	2.50958347321	2.46153330803	-999.25	2.50285005569	2.52366662025	2.03200006485	2.49183344841	2.51696681976	
171	-999.25	-999.25	2.52817153931	-999.25	-999.25	2.51428580284	2.46517133713	-999.25	2.51177144051	2.54342865944	2.27485704422	2.4797141552	2.51432847977	
